nohup: ignoring input
t=2026-08-27T21:07:04+0000 lvl=info msg="no configuration paths supplied"
t=2026-08-27T21:07:04+0000 lvl=info msg="using configuration at default config path" path=/data/data/com.termux/files/home/.config/ngrok/ngrok.yml
t=2026-08-27T21:07:04+0000 lvl=info msg="open config file" path=/data/data/com.termux/files/home/.config/ngrok/ngrok.yml err=<nil>
t=2026-08-27T21:07:04+0000 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-08-27T21:07:04+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-08-27T21:07:05+0000 lvl=warn msg="failed to check for update" obj=updater err="Post \"https://update.ngrok-agent.com/check\": tls: failed to verify certificate: x509: certificate signed by unknown authority"
t=2026-08-27T21:07:06+0000 lvl=info msg="client session established" obj=tunnels.session
t=2026-08-27T21:07:06+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-08-27T21:18:50+0000 lvl=info msg="join connections" obj=join id=71fd4f205058 l=127.0.0.1:3000 r=15.204.11.112:40832
t=2026-08-27T21:18:50+0000 lvl=info msg="join connections" obj=join id=abfbe1d33502 l=127.0.0.1:3000 r=15.204.11.112:40832
t=2026-08-27T21:18:50+0000 lvl=info msg="join connections" obj=join id=a53c10c1bce8 l=127.0.0.1:3000 r=15.204.11.112:40832
t=2026-08-27T21:18:54+0000 lvl=info msg="join connections" obj=join id=af29da98a6ba l=127.0.0.1:3000 r=15.204.11.112:40832
t=2026-08-27T21:18:54+0000 lvl=info msg="join connections" obj=join id=db559408fb44 l=127.0.0.1:3000 r=15.204.187.247:26123
t=2026-08-27T21:18:56+0000 lvl=info msg="join connections" obj=join id=bba1cb752200 l=127.0.0.1:3000 r=15.204.187.247:56199
t=2026-08-27T21:18:57+0000 lvl=info msg="join connections" obj=join id=1c90a4082aaf l=127.0.0.1:3000 r=104.248.243.0:47340
t=2026-08-27T21:18:58+0000 lvl=info msg="join connections" obj=join id=90068f5589be l=127.0.0.1:3000 r=15.204.187.247:56199
t=2026-08-27T21:18:59+0000 lvl=info msg="join connections" obj=join id=c168e87f1c62 l=127.0.0.1:3000 r=104.248.243.0:47340
t=2026-08-27T21:18:59+0000 lvl=info msg="join connections" obj=join id=441a837131fe l=127.0.0.1:3000 r=15.204.11.112:40832
t=2026-08-27T21:18:59+0000 lvl=info msg="join connections" obj=join id=697f27b8e4b5 l=127.0.0.1:3000 r=104.248.243.0:47340
t=2026-08-27T21:19:01+0000 lvl=info msg="join connections" obj=join id=b82cc618a779 l=127.0.0.1:3000 r=15.204.11.112:40832
t=2026-08-27T21:19:01+0000 lvl=info msg="join connections" obj=join id=753721b66c13 l=127.0.0.1:3000 r=15.204.187.247:56199
t=2026-08-27T21:19:04+0000 lvl=info msg="join connections" obj=join id=7978ec6cc88f l=127.0.0.1:3000 r=104.248.243.0:47340
t=2026-08-27T21:19:04+0000 lvl=info msg="join connections" obj=join id=c6d36aa806ea l=127.0.0.1:3000 r=104.248.243.0:47340
t=2026-08-27T21:19:08+0000 lvl=info msg="join connections" obj=join id=2cc53f8123cc l=127.0.0.1:3000 r=104.248.243.0:47340
t=2026-08-27T21:19:08+0000 lvl=info msg="join connections" obj=join id=e9cb21a51bd0 l=127.0.0.1:3000 r=15.204.187.247:56199
t=2026-08-27T21:19:10+0000 lvl=info msg="join connections" obj=join id=e4d311acc0b0 l=127.0.0.1:3000 r=15.204.187.247:56199
t=2026-08-27T21:19:10+0000 lvl=info msg="join connections" obj=join id=2f8a5f33adf3 l=127.0.0.1:3000 r=15.204.187.247:56199
t=2026-08-27T21:19:10+0000 lvl=info msg="join connections" obj=join id=3d31be357d97 l=127.0.0.1:3000 r=104.248.243.0:36006
t=2026-08-27T21:19:10+0000 lvl=info msg="join connections" obj=join id=248ca2f8645f l=127.0.0.1:3000 r=104.248.243.0:36006
t=2026-08-27T21:19:12+0000 lvl=info msg="join connections" obj=join id=e783ce2e6bf5 l=127.0.0.1:3000 r=104.248.243.0:36006
t=2026-08-27T21:19:13+0000 lvl=info msg="join connections" obj=join id=7856f1571a45 l=127.0.0.1:3000 r=15.204.187.247:56199
t=2026-08-27T21:19:13+0000 lvl=info msg="join connections" obj=join id=5e461656b32f l=127.0.0.1:3000 r=104.248.243.0:36006
t=2026-08-27T21:19:14+0000 lvl=info msg="join connections" obj=join id=0225f84465b3 l=127.0.0.1:3000 r=104.248.243.0:36006
t=2026-08-27T21:19:18+0000 lvl=info msg="join connections" obj=join id=8c622aa78fac l=127.0.0.1:3000 r=15.204.187.247:20743
t=2026-08-27T21:19:18+0000 lvl=info msg="join connections" obj=join id=659e313b88b5 l=127.0.0.1:3000 r=15.204.187.247:20743
t=2026-08-27T21:19:19+0000 lvl=info msg="join connections" obj=join id=f0796a27af9c l=127.0.0.1:3000 r=15.204.187.247:20743
t=2026-08-27T21:19:19+0000 lvl=info msg="join connections" obj=join id=ae1725cdfe00 l=127.0.0.1:3000 r=15.204.187.247:20743
t=2026-08-27T21:19:20+0000 lvl=info msg="join connections" obj=join id=d134806fa1a5 l=127.0.0.1:3000 r=15.204.187.247:20743
t=2026-08-27T21:19:21+0000 lvl=info msg="join connections" obj=join id=5188afa14fcf l=127.0.0.1:3000 r=15.204.187.247:56199
t=2026-08-27T21:19:22+0000 lvl=info msg="join connections" obj=join id=965c2468ea15 l=127.0.0.1:3000 r=15.204.187.247:20743
t=2026-08-27T21:19:24+0000 lvl=info msg="join connections" obj=join id=02d549864f22 l=127.0.0.1:3000 r=104.248.243.0:36006
t=2026-08-27T21:19:24+0000 lvl=info msg="join connections" obj=join id=6c72ccbee3a3 l=127.0.0.1:3000 r=104.248.243.0:36006
t=2026-08-27T21:19:24+0000 lvl=info msg="join connections" obj=join id=6cd9f2ce935f l=127.0.0.1:3000 r=104.248.243.0:36006
t=2026-08-27T21:19:24+0000 lvl=info msg="join connections" obj=join id=b222ae262a5c l=127.0.0.1:3000 r=104.248.243.0:36006
